Macro Recording Summary
=======================
Total Duration: 39602.135ms (39.60s)
Total Events: 367

Event Log:
--------------------------------------------------------------------------------
 19310.117ms | KEY UP     | W (held 0.000ms) [ORPHAN]
 19339.487ms | KEY UP     | shift (held 1502.439ms)
 19450.588ms | KEY DOWN   | e
 19531.233ms | KEY UP     | e (held 80.644ms)
 19628.295ms | KEY DOWN   | e
 19703.079ms | KEY UP     | e (held 74.784ms)
 19800.313ms | KEY DOWN   | e
 19871.536ms | KEY UP     | e (held 71.223ms)
 23196.715ms | KEY DOWN   | s
 23643.471ms | KEY UP     | s (held 446.756ms)
 25434.437ms | KEY DOWN   | tab
 25545.364ms | KEY UP     | tab (held 110.928ms)
 26272.036ms | KEY DOWN   | tab
 26354.765ms | KEY UP     | tab (held 82.729ms)
 26903.222ms | KEY UP     | w (held 9158.931ms)
 26975.064ms | KEY DOWN   | e
 26983.783ms | KEY DOWN   | r
 27042.828ms | KEY UP     | r (held 59.045ms)
 27046.473ms | KEY UP     | e (held 71.409ms)
 27687.128ms | KEY DOWN   | q
 27793.685ms | KEY UP     | q (held 106.557ms)
 28345.777ms | KEY DOWN   | q
 29234.126ms | KEY UP     | q (held 888.348ms)
 29534.313ms | KEY DOWN   | s
 30220.989ms | KEY UP     | s (held 686.676ms)
 33929.254ms | KEY DOWN   | f8
 33936.259ms | MOUSE UP   | left at (2655, 871) (held 0.000ms) [ORPHAN]
 33937.004ms | MOUSE UP   | left at (2655, 871) (held 0.000ms) [ORPHAN]
 33937.517ms | MOUSE UP   | right at (2655, 871) (held 0.000ms) [ORPHAN]
 33938.573ms | KEY UP     | e (held 0.000ms) [ORPHAN]
 33939.589ms | KEY UP     | q (held 0.000ms) [ORPHAN]
 33940.279ms | KEY UP     | tab (held 0.000ms) [ORPHAN]
 34035.119ms | KEY UP     | f8 (held 105.865ms)
 34165.178ms | MOUSE DOWN | left at (2655, 871)
 34679.238ms | MOUSE DOWN | right at (2655, 871)
 34731.506ms | MOUSE UP   | right at (2655, 871) (held 52.268ms)
 34732.646ms | MOUSE UP   | left at (2655, 871) (held 567.468ms)
 34734.014ms | KEY DOWN   | e
 34746.043ms | KEY UP     | e (held 12.029ms)
 34935.362ms | KEY DOWN   | tab
 34987.987ms | KEY UP     | tab (held 52.625ms)
 35345.704ms | MOUSE DOWN | left at (3027, 733)
 35898.102ms | MOUSE UP   | left at (867, 1146) (held 552.398ms)
 36049.860ms | KEY DOWN   | tab
 36101.732ms | KEY UP     | tab (held 51.872ms)
 36402.818ms | MOUSE DOWN | left at (867, 1146)
 36454.018ms | MOUSE UP   | left at (867, 1146) (held 51.200ms)
 36536.301ms | MOUSE DOWN | left at (867, 1146)
 36587.583ms | MOUSE UP   | left at (867, 1146) (held 51.283ms)
 36638.868ms | MOUSE DOWN | left at (867, 1146)
 36690.205ms | MOUSE UP   | left at (867, 1146) (held 51.336ms)
 36741.447ms | MOUSE DOWN | left at (867, 1146)
 36793.049ms | MOUSE UP   | left at (867, 1146) (held 51.602ms)
 36844.950ms | MOUSE DOWN | left at (867, 1146)
